DATE,Crude,natural_gas,Cocoa,Coffee,Soybeans,soybean_oil,soybean_meal,Maize,Wheat,Banana,Orange,Beef,Chicken,Sugar,Cotton,Rubber,Phosphate,Aluminum,Iron ore,Copper,Gold,President,CPI
3/1/1969,1.27,0.17,0.9,0.83,110.55,178,94,50.39,62.1,0.15,0.17,1.13,0.4,0.16,0.63,0.51,11.25,584.22,9.84,1278.46,43.16,Republican,36.1
4/1/1969,1.27,0.17,0.88,0.81,110.07,167,95,51.57,62.1,0.15,0.18,1.16,0.4,0.16,0.63,0.52,11.25,584.22,9.84,1388.03,43.31,Republican,36.3
5/1/1969,1.27,0.17,0.81,0.81,112.44,170,96,54.33,62.1,0.17,0.18,1.24,0.4,0.16,0.63,0.5,11.25,584.22,9.84,1392.44,43.46,Republican,36.4
6/1/1969,1.27,0.17,0.89,0.8,109.6,173,99,54.33,61.73,0.16,0.18,1.31,0.4,0.16,0.62,0.51,11.25,584.22,9.84,1483.04,41.44,Republican,36.6
7/1/1969,1.27,0.17,0.93,0.78,101.57,180,95,53.93,60.26,0.15,0.18,1.3,0.4,0.15,0.61,0.54,11.25,584.22,9.84,1453.95,41.76,Republican,36.8
8/1/1969,1.27,0.17,0.91,0.81,99.21,181,96,53.54,56.22,0.17,0.18,1.37,0.4,0.16,0.6,0.58,11.25,584.22,9.84,1606.73,41.09,Republican,36.9
9/1/1969,1.27,0.17,0.9,0.9,100.86,200,92,51.18,53.65,0.18,0.18,1.32,0.4,0.16,0.61,0.54,11.25,584.22,9.84,1578.95,40.87,Republican,37.1
10/1/1969,1.27,0.17,0.92,1.04,102.99,240,92,51.87,52.18,0.17,0.18,1.23,0.41,0.16,0.63,0.5,11.25,601.86,9.84,1554.48,40.44,Republican,37.3
11/1/1969,1.27,0.17,0.93,1.02,106.53,260,91,53.16,52.18,0.16,0.18,1.21,0.41,0.16,0.65,0.45,11.25,606.27,9.84,1631.42,37.4,Republican,37.5
12/1/1969,1.27,0.17,0.85,1.05,106.29,251,96,52.36,52.18,0.16,0.16,1.21,0.41,0.15,0.66,0.47,11.25,606.27,9.84,1699.76,35.17,Republican,37.7
1/1/1970,1.21,0.17,0.68,1.14,107,252,101,58.4,52.18,0.17,0.17,1.3,0.41,0.17,0.64,0.5,11,606.27,9.84,1626.3,34.94,Republican,37.9
2/1/1970,1.21,0.17,0.68,1.15,110,257,102,58.4,52.18,0.17,0.17,1.33,0.41,0.16,0.65,0.48,11,606.27,9.84,1657.2,34.99,Republican,38.1
3/1/1970,1.21,0.17,0.68,1.17,111,268,97,58.4,52.18,0.19,0.16,1.35,0.41,0.16,0.66,0.44,11,606.27,9.84,1754,35.09,Republican,38.3
4/1/1970,1.21,0.17,0.68,1.2,112,298,97,58.4,52.18,0.17,0.16,1.36,0.42,0.16,0.66,0.42,11,612.88,9.84,1741.6,35.62,Republican,38.5
5/1/1970,1.21,0.17,0.68,1.22,115,292,98,58.4,52.18,0.19,0.16,1.33,0.42,0.17,0.66,0.41,11,617.29,9.84,1597.9,35.95,Republican,38.6
6/1/1970,1.21,0.17,0.68,1.21,118,288,102,58.4,52.18,0.18,0.16,1.3,0.42,0.17,0.67,0.41,11,617.29,9.84,1458,35.42,Republican,38.8
7/1/1970,1.21,0.17,0.68,1.21,122,290,106,58.4,52.54,0.15,0.17,1.29,0.42,0.17,0.67,0.38,11,617.29,9.84,1366.6,35.32,Republican,38.9
8/1/1970,1.21,0.17,0.68,1.18,120,270,107,58.4,54.01,0.16,0.17,1.25,0.42,0.17,0.68,0.37,11,617.29,9.84,1266.5,35.38,Republican,39
9/1/1970,1.21,0.17,0.68,1.16,119,276,106,58.4,56.22,0.16,0.17,1.28,0.42,0.17,0.69,0.36,11,617.29,9.84,1246.9,36.19,Republican,39.2
10/1/1970,1.21,0.17,0.68,1.12,123,304,104,58.4,58.79,0.17,0.17,1.28,0.43,0.17,0.7,0.35,11,617.29,9.84,1142.4,37.52,Republican,39.4
11/1/1970,1.21,0.17,0.68,1.03,125,330,105,58.4,60.99,0.15,0.17,1.27,0.43,0.16,0.71,0.37,11,617.29,9.84,1085.3,37.44,Republican,39.6
12/1/1970,1.21,0.17,0.68,0.98,121,311,106,58.4,63.2,0.13,0.19,1.31,0.43,0.17,0.72,0.37,11,617.29,9.84,1045.7,37.44,Republican,39.8
1/1/1971,1.64,0.18,0.54,1,125,309,105,58.4,63.57,0.14,0.13,1.34,0.43,0.17,0.73,0.35,11.25,617.29,10.33,1010,37.88,Republican,39.9
2/1/1971,1.64,0.18,0.54,0.98,125,297,101,58.4,63.57,0.14,0.15,1.37,0.43,0.17,0.74,0.33,11.25,617.29,10.33,1020.2,38.74,Republican,39.9
3/1/1971,1.64,0.18,0.54,1.01,124,300,100,58.4,62.83,0.14,0.15,1.38,0.43,0.17,0.73,0.34,11.25,617.29,10.33,1144.1,38.87,Republican,40
4/1/1971,1.64,0.18,0.54,0.99,119,292,98,58.4,62.46,0.14,0.17,1.4,0.43,0.17,0.73,0.36,11.25,617.29,10.33,1251.5,39.01,Republican,40.1
5/1/1971,1.64,0.18,0.54,1.02,122,293,101,58.4,63.2,0.14,0.15,1.4,0.44,0.17,0.75,0.38,11.25,617.29,10.33,1114.4,40.52,Republican,40.3
6/1/1971,1.64,0.18,0.54,1,127,310,104,58.4,61.36,0.14,0.15,1.37,0.44,0.18,0.79,0.34,11.25,617.29,10.33,1074.2,40.1,Republican,40.5
7/1/1971,1.74,0.18,0.54,0.99,134,336,107,58.4,61.36,0.14,0.15,1.35,0.44,0.18,0.8,0.33,11.25,617.29,10.33,1115.3,40.95,Republican,40.6
8/1/1971,1.74,0.18,0.54,1.01,131,335,108,58.4,60.99,0.15,0.15,1.32,0.44,0.18,0.83,0.32,11.25,628.32,10.33,1097.9,42.71,Republican,40.7
9/1/1971,1.74,0.18,0.54,0.96,124,296,99,58.4,60.99,0.15,0.15,1.3,0.44,0.17,0.83,0.32,11.25,639.34,10.33,1056.4,42.03,Republican,40.8
10/1/1971,1.74,0.18,0.54,0.94,125,305,101,58.4,60.26,0.14,0.15,1.31,0.45,0.17,0.82,0.32,11.25,639.34,10.33,1041.2,42.5,Republican,40.9
